,Unnamed: 0,country,portName,portAuthority,address,phone,fax,email,latitude,longitude,ddLatitude,ddLongitude,portType,portSize,firstPortofEntry,publication,chart,usaRep,medicalFacilities,harborSize,shelter,maxVesselSize,harborType,turningArea,holdingGround,tide,overheadLimit,swell,channel,cargoPier,meanTide,anchorage,oilTerminal,compulsory,available,tugAssistance,tugSalvage,pratique,rail,wharves,medMoor,hundredTonLifts,fiftyTonLifts,twentyTonLifts,zeroTonLifts,fixedCranes,mobileCranes,floatingCranes,longshore,provisions,fuelOil,deck,water,dieselOil,shipRepairs,marineRailroadSize,drydockSize,closestAirField
65,57,DE,SASSNITZ, Fahrhafen Sassnitz GmbH ,Fahrhafen Sassnitz Sassnitz 18546 Germany, 49 0 3 83 92-55-0 , 49 0 3 83 92-5 52 40 , info@faehrhafen-sassnitz.de , 54 30 45 N ,13 37 50 E,54.5,13.616666666666667, Harbor , Small ,Yes,194.0,44081.0,No,Yes, Very Small , Good , Over 500 feet in length , Coastal Breakwater ,,Yes,No,,No,31 - 35 ft,21 - 25 ft,15.0,31 - 35 ft,,Yes,Yes,Yes,,,Yes,Yes,,,,Yes,Yes,Yes,,Yes,,Yes,Yes,,Yes,Yes, Limited ,Up to 200 tons,,Rugen Airport
66,58,DE,SCHLESWIG, Schleswig Port Authority ,Stadt Schleswig Schleswig 24837 Germany,,,, 54 31 0 N ,9 34 0 E,54.51666666666666,9.566666666666666, Seaport , Small ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Schleswig Airport
67,59,DE,SCHWARZENHUTTEN,,,,,, 53 42 2 N ,9 10 1 E,53.7,9.166666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,Seedorf Airport
68,60,DE,STADE, Staderstand Port Authority ,Stadt Wertke Stade 21683 Germany, 49 4141 404117 , 49 4141 404174 ,, 53 37 23 N ,9 30 58 E,53.61666666666667,9.5, River Port , Small ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Uetersen Airport
69,67,DE,STRALSUND,,,,,,54 19 N,13 6 E,54.31666666666667,13.1,,,Yes,194.0,,,Yes,Very Small,Excellent,less than 500 feet,Coastal Breakwater,,,No,Yes,No,11 - 15 ft,16 - 20 ft,2.0,21 - 25 ft,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,Yes,Yes,Yes,,Yes,,Yes,Yes,Yes,Yes,Major,"201 to 1,000 tons",,Stralsund Airport
70,61,DE,STUHR,,,,,, 53 1 12 N ,8 26 59 E,53.01666666666666,8.433333333333334,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,Ganderkesee Airport
71,62,DE,TOENNING,,Toenning Germany,,,, 54 19 0 N ,8 56 60 E,54.31666666666667,8.933333333333334, River Port , Small ,No,,,No,Yes, Very Small , Good , Up to 500 feet in length , River Tide Gate ,,,Yes,,No, 6 - 10 feet 1.8 - 3 meters , 6 - 10 feet 1.8 - 3 meters ,11.0,16 - 20 ft,,No,No,No,No,,Yes,Yes,,,,,,Yes,,,,Yes,,,Yes,Yes, Limited ,,,Heide Busum Airport
72,63,DE,UCKERMUNDE,,,,,, 53 43 59 N ,14 5 53 E,53.71666666666667,14.083333333333336,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,Heringsdorf Airport
73,64,DE,ULM,,,,,, 48 14 24 N ,10 0 0 E,48.23333333333333,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,,,Laupheim Airport
74,65,DE,WILHELMSHAVEN,,,,,, 53 32 4 N ,8 10 8 E,53.53333333333333,8.166666666666666,,,Yes,192.0,37232.0,No,Yes,Small,Good,less than 500 feet,Coastal Tide Gate,,,Yes,Yes,Yes,66 - 70 ft,36 - 40 ft,4.0,36 - 40 ft,21 - 25 ft,Yes,Yes,Yes,,Yes,Yes,Yes,,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Moderate,Up to 200 tons,Up to 656 ft,Wilhelmshaven Jadeweser Airport
75,68,DE,WISMAR,,,,,,53 54 N,11 28 E,53.9,11.466666666666667,,,Yes,194.0,44069.0,No,Yes,Small,Good,less than 500 feet,Coastal Natural,Yes,Yes,No,,No,31 - 35 ft,26 - 30 ft,3.0,31 - 35 ft,26 - 30 ft,Yes,Yes,Yes,,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Limited,"201 to 1,000 tons",Up to 656 ft,Wismar Airport
76,66,DE,WOLGAST,,,,,,54 3 N,13 47 E,54.05,13.783333333333333,,,Yes,194.0,44120.0,No,Yes,Very Small,Good,less than 500 feet,River Natural,,No,No,,No,16 - 20 ft,16 - 20 ft,0.0,26 - 30 ft,,Yes,Yes,Yes,,,Yes,Yes,,,,,Yes,Yes,Yes,,,Yes,Yes,,Yes,Yes,Moderate,Up to 200 tons,,Peenemunde Airport
